,-1.90,-1.90
7,-1.92,-1.92
9,-1.96,-1.96
11,-2.00,-2.00
12,-2.00,-2.00
14,-2.00,-2.00
16,-2.00,-2.00
18,-2.00,-2.00
23,-2.00,-2.00
27,-2.00,-2.00
31,-2.00,-2.00
35,-2.00,-2.00
39,-2.00,-2.00
44,-2.00,-2.00
48,-2.00,-2.00
52,-2.00,-2.00
56,-2.00,-2.00
60,-2.00,-2.00
64,-2.00,-2.00
68,-2.00,-2.00
72,-2.00,-2.00
76,-2.00,-2.00
80,-2.00,-2.00
84,-2.00,-2.00
90,-2.00,-2.00
94,-2.00,-2.00
98,-2.00,-2.00
102,-2.00,-2.00
106,-2.00,-2.00
110,-2.00,-2.00
115,-2.00,-2.00
119,-1.95,-1.95
123,-1.89,-1.89
129,-1.80,-1.80
133,-1.71,-1.71
137,-1.61,-1.61
142,-1.44,-1.44
146,-1.28,-1.28
150,-1.06,-1.06
154,-0.88,-0.88
159,-0.68,-0.68
163,-0.42,-0.42
167,-0.20,-0.20
173,0.09,0.09
177,0.31,0.31
180,0.52,0.52
184,0.66,0.66
188,0.83,0.83
192,0.97,0.97
196,1.09,1.09
199,1.19,1.19
203,1.27,1.27
207,1.32,1.32
211,1.35,1.35
216,1.43,1.43
219,1.43,1.43
223,1.49,1.49
227,1.54,1.54
231,1.62,1.62
235,1.69,1.69
239,1.76,1.76
242,1.83,1.83
246,1.89,1.89
250,1.92,1.92
254,1.93,1.93
259,1.92,1.92
262,1.88,1.88
266,1.83,1.83
270,1.76,1.76
274,1.69,1.69
278,1.62,1.62
281,1.56,1.56
285,1.51,1.51
289,1.47,1.47
293,1.45,1.45
297,1.45,1.45
301,1.45,1.45
305,1.46,1.46
309,1.47,1.47
313,1.48,1.48
317,1.48,1.48
320,1.48,1.48
324,1.46,1.46
328,1.42,1.42
332,1.36,1.36
336,1.31,1.31
340,1.22,1.22
344,1.13,1.13
348,1.02,1.02
352,0.92,0.92
356,0.80,0.80
360,0.67,0.67
363,0.51,0.51
367,0.34,0.34
371,0.15,0.15
375,0.00,0.00
379,-0.18,-0.18
384,-0.40,-0.40
388,-0.54,-0.54
393,-0.68,-0.68
397,-0.77,-0.77
401,-0.85,-0.85
406,-0.96,-0.96
410,-1.08,-1.08
414,-1.16,-1.16
418,-1.26,-1.26
423,-1.38,-1.38
428,-1.46,-1.46
432,-1.54,-1.54
437,-1.64,-1.64
441,-1.71,-1.71
445,-1.81,-1.81
450,-1.90,-1.90
454,-2.00,-2.00
458,-2.00,-2.00
463,-2.00,-2.00
467,-2.00,-2.00
472,-2.00,-2.00
477,-2.00,-2.00
481,-2.00,-2.00
485,-2.00,-2.00
490,-2.00,-2.00
494,-2.00,-2.00
498,-2.00,-2.00
502,-2.00,-2.00
507,-2.00,-2.00
512,-2.00,-2.00
516,-2.00,-2.00
521,-1.92,-1.92
525,-1.88,-1.88
529,-1.87,-1.87
534,-1.90,-1.90
538,-1.95,-1.95
542,-2.00,-2.00
547,-2.00,-2.00
551,-2.00,-2.00
556,-2.00,-2.00
561,-2.00,-2.00
565,-2.00,-2.00
569,-2.00,-2.00
574,-2.00,-2.00
578,-1.89,-1.89
582,-1.72,-1.72
586,-1.56,-1.56
591,-1.33,-1.33
595,-1.14,-1.14
600,-0.94,-0.94
605,-0.69,-0.69
609,-0.50,-0.50
613,-0.25,-0.25
618,-0.05,-0.05
622,0.14,0.14
626,0.33,0.33
630,0.54,0.54
633,0.75,0.75
637,0.95,0.95
642,1.11,1.11
646,1.25,1.25
650,1.36,1.36
653,1.45,1.45
657,1.52,1.52
661,1.56,1.56
665,1.62,1.62
669,1.70,1.70
673,1.77,1.77
676,1.85,1.85
680,1.91,1.91
685,1.97,1.97
689,2.00,2.00
693,2.00,2.00
696,2.00,2.00
700,2.00,2.00
704,1.97,1.97
708,1.89,1.89
712,1.79,1.79
715,1.69,1.69
719,1.59,1.59
723,1.50,1.50
728,1.42,1.42
732,1.37,1.37
735,1.36,1.36
739,1.34,1.34
743,1.33,1.33
747,1.33,1.33
751,1.34,1.34
755,1.36,1.36
758,1.37,1.37
762,1.37,1.37
766,1.37,1.37
771,1.36,1.36
775,1.34,1.34
778,1.31,1.31
782,1.25,1.25
786,1.16,1.16
790,1.05,1.05
794,0.91,0.91
797,0.74,0.74
801,0.55,0.55
805,0.34,0.34
809,0.10,0.10
814,-0.13,-0.13
818,-0.36,-0.36
822,-0.58,-0.58
827,-0.83,-0.83
831,-1.01,-1.01
835,-1.17,-1.17
840,-1.20,-1.20
844,-1.32,-1.32
848,-1.40,-1.40
852,-1.47,-1.47
858,-1.55,-1.55
862,-1.62,-1.62
866,-1.72,-1.72
871,-1.80,-1.80
875,-1.90,-1.90
879,-2.00,-2.00
884,-2.00,-2.00
888,-2.00,-2.00
892,-2.00,-2.00
898,-2.00,-2.00
902,-2.00,-2.00
906,-2.00,-2.00
911,-2.00,-2.00
915,-2.00,-2.00
919,-2.00,-2.00
924,-2.00,-2.00
928,-2.00,-2.00
932,-2.00,-2.00
936,-2.00,-2.00
942,-2.00,-2.00
946,-1.98,-1.98
950,-1.95,-1.95
955,-1.94,-1.94
959,-1.95,-1.95
963,-1.97,-1.97
968,-1.98,-1.98
972,-2.00,-2.00
976,-2.00,-2.00
982,-2.00,-2.00
986,-1.98,-1.98
990,-1.95,-1.95
995,-1.86,-1.86
999,-1.76,-1.76
1003,-1.61,-1.61
1008,-1.46,-1.46
1012,-1.25,-1.25
1017,-1.02,-1.02
1022,-0.85,-0.85
1027,-0.67,-0.67
1032,-0.52,-0.52
1036,-0.42,-0.42
1041,-0.31,-0.31
1045,-0.21,-0.21
1050,-0.13,-0.13
1055,-0.01,-0.01
1059,0.12,0.12
1063,0.22,0.22
1068,0.33,0.33
1072,0.43,0.43
1076,0.54,0.54
1080,0.63,0.63
1084,0.73,0.73
1089,0.82,0.82
1093,0.90,0.90
1097,0.98,0.98
1101,1.12,1.12
1105,1.24,1.24
1110,1.40,1.40
1114,1.55,1.55
1118,1.69,1.69
1122,1.80,1.80
1126,1.89,1.89
1130,1.97,1.97
1134,2.00,2.00
1138,2.00,2.00
1142,2.00,2.00
1146,1.97,1.97
1150,1.88,1.88
1156,1.78,1.78
1160,1.64,1.64
1164,1.53,1.53
1168,1.44,1.44
1172,1.36,1.36
1176,1.31,1.31
1180,1.27,1.27
1184,1.25,1.25
1188,1.23,1.23
1192,1.21,1.21
1197,1.20,1.20
1201,1.18,1.18
1205,1.16,1.16
1209,1.11,1.11
1213,1.03,1.03
1217,0.93,0.93
1222,0.80,0.80
1226,0.65,0.65
1230,0.46,0.46
1234,0.26,0.26
1239,-0.02,-0.02
1243,-0.24,-0.24
1248,-0.51,-0.51
1252,-0.76,-0.76
1257,-0.94,-0.94
1262,-1.15,-1.15
1266,-1.35,-1.35
1271,-1.52,-1.52
1275,-1.61,-1.61
1281,-1.68,-1.68
1285,-1.68,-1.68
1290,-1.66,-1.66
1295,-1.65,-1.65
1299,-1.66,-1.66
1304,-1.73,-1.73
1308,-1.82,-1.82
1313,-1.92,-1.92
1317,-2.00,-2.00
1323,-2.00,-2.00
1328,-2.00,-2.00
1332,-2.00,-2.00
1337,-2.00,-2.00
1341,-2.00,-2.00
1346,-2.00,-2.00
1350,-2.00,-2.00
1355,-2.00,-2.00
1360,-2.00,-2.00
1364,-2.00,-2.00
1370,-2.00,-2.00
1374,-2.00,-2.00
1379,-2.00,-2.00
1383,-2.00,-2.00
1388,-1.97,-1.97
1393,-1.91,-1.91
1397,-1.87,-1.87
1402,-1.84,-1.84
1406,-1.80,-1.80
1412,-1.76,-1.76
1416,-1.72,-1.72
1421,-1.68,-1.68
1426,-1.63,-1.63
1430,-1.59,-1.59
1435,-1.52,-1.52
1439,-1.42,-1.42
1444,-1.32,-1.32
1448,-1.19,-1.19
1454,-1.03,-1.03
1459,-0.91,-0.91
1463,-0.75,-0.75
1468,-0.59,-0.59
1472,-0.43,-0.43
1477,-0.32,-0.32
1481,-0.18,-0.18
1486,-0.04,-0.04
1491,0.07,0.07
1496,0.18,0.18
1500,0.32,0.32
1504,0.43,0.43
1508,0.54,0.54
1512,0.63,0.63
1516,0.71,0.71
1520,0.78,0.78
1524,0.88,0.88
1528,0.89,0.89
1532,1.01,1.01
1537,1.10,1.10
1541,1.22,1.22
1545,1.34,1.34
1549,1.45,1.45
1554,1.58,1.58
1558,1.69,1.69
1562,1.77,1.77
1566,1.84,1.84
1570,1.90,1.90
1574,1.94,1.94
1579,1.96,1.96
1583,1.96,1.96
1587,1.95,1.95
1591,1.94,1.94
1595,1.91,1.91
1599,1.88,1.88
1603,1.85,1.85
1607,1.81,1.81
1611,1.78,1.78
1615,1.75,1.75
1620,1.71,1.71
1625,1.69,1.69
1629,1.67,1.67
1633,1.67,1.67
1637,1.66,1.66
1641,1.66,1.66
1645,1.64,1.64
1649,1.61,1.61
1653,1.54,1.54
1657,1.41,1.41
1661,1.27,1.27
1666,1.10,1.10
1670,0.89,0.89
1674,0.64,0.64
1678,0.37,0.37
1682,0.01,0.01
1687,-0.28,-0.28
1691,-0.58,-0.58
1696,-0.93,-0.93
1700,-1.27,-1.27
1705,-1.54,-1.54
1710,-1.81,-1.81
1715,-2.00,-2.00
1719,-2.00,-2.00
1724,-2.00,-2.00
1729,-2.00,-2.00
1733,-2.00,-2.00
1738,-2.00,-2.00
1742,-2.00,-2.00
1747,-2.00,-2.00
1752,-2.00,-2.00
1757,-2.00,-2.00
1762,-2.00,-2.00
1766,-2.00,-2.00
1771,-2.00,-2.00
1775,-2.00,-2.00
1780,-2.00,-2.00
1784,-2.00,-2.00
1789,-2.00,-2.00
1795,-2.00,-2.00
1799,-1.89,-1.89
1804,-1.79,-1.79
1808,-1.73,-1.73
1813,-1.69,-1.69
1817,-1.70,-1.70
1822,-1.73,-1.73
1827,-1.81,-1.81
1831,-1.90,-1.90
1837,-1.97,-1.97
1841,-2.00,-2.00
1846,-2.00,-2.00
1850,-2.00,-2.00
1855,-2.00,-2.00
1860,-2.00,-2.00
1864,-1.88,-1.88
1869,-1.77,-1.77
1873,-1.60,-1.60
1879,-1.43,-1.43
1883,-1.30,-1.30
1888,-1.13,-1.13
1893,-0.96,-0.96
1897,-0.82,-0.82
1902,-0.66,-0.66
1906,-0.49,-0.49
1911,-0.35,-0.35
1915,-0.17,-0.17
1921,0.02,0.02
1925,0.17,0.17
1929,0.31,0.31
1933,0.43,0.43
1937,0.55,0.55
1941,0.65,0.65
1945,0.77,0.77
1949,0.87,0.87
1954,0.98,0.98
1958,1.08,1.08
1963,1.13,1.13
1967,1.26,1.26
1971,1.39,1.39
1975,1.51,1.51
1979,1.63,1.63
1983,1.75,1.75
1987,1.87,1.87
1991,1.96,1.96
1995,2.00,2.00
1999,2.00,2.00
2003,2.00,2.00
2008,2.00,2.00
2012,1.98,1.98
2016,1.91,1.91
2021,1.83,1.83
2025,1.76,1.76
2029,1.69,1.69
2033,1.62,1.62
2037,1.55,1.55
2041,1.49,1.49
2045,1.43,1.43
2050,1.36,1.36
2054,1.30,1.30
2058,1.24,1.24
2062,1.18,1.18
2066,1.11,1.11
2070,1.03,1.03
2074,0.91,0.91
2078,0.79,0.79
2082,0.66,0.66
2087,0.51,0.51
2092,0.35,0.35
2096,0.17,0.17
2100,-0.06,-0.06
2104,-0.25,-0.25
2109,-0.49,-0.49
2113,-0.72,-0.72
2118,-0.88,-0.88
2123,-1.04,-1.04
2127,-1.13,-1.13
2132,-1.20,-1.20
2137,-1.26,-1.26
2142,-1.32,-1.32
2146,-1.41,-1.41
2151,-1.54,-1.54
2156,-1.69,-1.69
2160,-1.83,-1.83
2165,-2.00,-2.00
2169,-2.00,-2.00
2174,-2.00,-2.00
2179,-2.00,-2.00
2184,-2.00,-2.00
2189,-2.00,-2.00
2193,-2.00,-2.00
2198,-2.00,-2.00
2202,-2.00,-2.00
2207,-2.00,-2.00
2211,-2.00,-2.00
2216,-2.00,-2.00
2222,-2.00,-2.00
2226,-1.92,-1.92
2231,-1.83,-1.83
2235,-1.77,-1.77
2240,-1.73,-1.73
2244,-1.72,-1.72
2249,-1.75,-1.75
2254,-1.81,-1.81
2258,-1.87,-1.87
2264,-1.92,-1.92
2268,-1.98,-1.98
2273,-2.00,-2.00
2277,-2.00,-2.00
2282,-2.00,-2.00
2287,-1.99,-1.99
2291,-1.95,-1.95
2296,-1.89,-1.89
2300,-1.76,-1.76
2306,-1.65,-1.65
2310,-1.51,-1.51
2315,-1.35,-1.35
2320,-1.21,-1.21
2324,-1.02,-1.02
2329,-0.82,-0.82
2333,-0.58,-0.58
