,1.26,1.26
7,1.20,1.20
9,1.15,1.15
11,1.13,1.13
12,1.09,1.09
14,1.07,1.07
15,1.06,1.06
17,1.05,1.05
19,1.04,1.04
22,1.05,1.05
26,1.07,1.07
29,1.07,1.07
33,1.09,1.09
36,1.09,1.09
40,1.10,1.10
44,1.12,1.12
48,1.16,1.16
51,1.20,1.20
55,1.25,1.25
59,1.27,1.27
62,1.30,1.30
66,1.31,1.31
69,1.30,1.30
73,1.27,1.27
76,1.22,1.22
80,1.15,1.15
83,1.03,1.03
88,0.92,0.92
92,0.85,0.85
95,0.70,0.70
99,0.52,0.52
102,0.30,0.30
106,0.10,0.10
110,-0.08,-0.08
114,-0.27,-0.27
118,-0.48,-0.48
123,-0.64,-0.64
128,-0.77,-0.77
132,-0.90,-0.90
137,-1.07,-1.07
141,-1.19,-1.19
145,-1.28,-1.28
150,-1.42,-1.42
154,-1.52,-1.52
158,-1.65,-1.65
163,-1.78,-1.78
167,-1.95,-1.95
172,-2.00,-2.00
177,-2.00,-2.00
181,-2.00,-2.00
185,-2.00,-2.00
189,-2.00,-2.00
194,-2.00,-2.00
198,-2.00,-2.00
202,-2.00,-2.00
207,-2.00,-2.00
211,-2.00,-2.00
216,-2.00,-2.00
221,-2.00,-2.00
225,-2.00,-2.00
229,-2.00,-2.00
234,-2.00,-2.00
238,-2.00,-2.00
242,-1.97,-1.97
247,-1.74,-1.74
251,-1.57,-1.57
256,-1.44,-1.44
261,-1.37,-1.37
265,-1.38,-1.38
269,-1.45,-1.45
274,-1.57,-1.57
278,-1.73,-1.73
282,-1.86,-1.86
286,-1.97,-1.97
291,-2.00,-2.00
295,-2.00,-2.00
300,-2.00,-2.00
305,-2.00,-2.00
309,-2.00,-2.00
313,-2.00,-2.00
318,-1.95,-1.95
322,-1.90,-1.90
326,-1.83,-1.83
331,-1.75,-1.75
335,-1.67,-1.67
339,-1.53,-1.53
345,-1.41,-1.41
349,-1.21,-1.21
353,-1.04,-1.04
358,-0.85,-0.85
362,-0.62,-0.62
366,-0.44,-0.44
370,-0.23,-0.23
375,-0.07,-0.07
379,0.12,0.12
384,0.32,0.32
388,0.52,0.52
392,0.72,0.72
395,0.93,0.93
399,1.15,1.15
403,1.35,1.35
407,1.53,1.53
411,1.69,1.69
414,1.79,1.79
418,1.90,1.90
422,2.00,2.00
427,2.00,2.00
431,2.00,2.00
434,2.00,2.00
438,2.00,2.00
442,2.00,2.00
446,2.00,2.00
450,2.00,2.00
453,2.00,2.00
457,2.00,2.00
461,2.00,2.00
465,2.00,2.00
470,2.00,2.00
474,1.99,1.99
477,1.84,1.84
481,1.72,1.72
485,1.59,1.59
489,1.49,1.49
493,1.40,1.40
496,1.36,1.36
500,1.31,1.31
504,1.27,1.27
508,1.25,1.25
513,1.23,1.23
516,1.21,1.21
520,1.19,1.19
524,1.16,1.16
528,1.13,1.13
532,1.09,1.09
535,1.04,1.04
539,0.95,0.95
543,0.83,0.83
547,0.69,0.69
551,0.54,0.54
555,0.40,0.40
559,0.24,0.24
563,0.05,0.05
567,-0.17,-0.17
571,-0.39,-0.39
576,-0.58,-0.58
580,-0.79,-0.79
584,-0.99,-0.99
588,-1.05,-1.05
593,-1.19,-1.19
598,-1.36,-1.36
602,-1.49,-1.49
607,-1.67,-1.67
611,-1.88,-1.88
615,-2.00,-2.00
620,-2.00,-2.00
624,-2.00,-2.00
628,-2.00,-2.00
633,-2.00,-2.00
637,-2.00,-2.00
642,-2.00,-2.00
647,-2.00,-2.00
651,-2.00,-2.00
655,-2.00,-2.00
660,-2.00,-2.00
664,-2.00,-2.00
668,-1.89,-1.89
673,-1.76,-1.76
677,-1.88,-1.88
681,-1.57,-1.57
686,-1.62,-1.62
691,-1.70,-1.70
695,-1.73,-1.73
699,-1.68,-1.68
704,-1.69,-1.69
708,-1.72,-1.72
712,-1.72,-1.72
717,-1.72,-1.72
721,-1.75,-1.75
726,-1.84,-1.84
731,-1.91,-1.91
735,-2.00,-2.00
739,-2.00,-2.00
744,-2.00,-2.00
748,-2.00,-2.00
752,-2.00,-2.00
757,-2.00,-2.00
761,-2.00,-2.00
765,-2.00,-2.00
770,-2.00,-2.00
775,-2.00,-2.00
779,-1.99,-1.99
783,-1.90,-1.90
788,-1.78,-1.78
792,-1.69,-1.69
796,-1.60,-1.60
801,-1.45,-1.45
805,-1.30,-1.30
809,-1.10,-1.10
815,-0.91,-0.91
819,-0.66,-0.66
823,-0.45,-0.45
828,-0.22,-0.22
832,0.06,0.06
836,0.26,0.26
840,0.48,0.48
843,0.72,0.72
847,0.91,0.91
851,1.16,1.16
856,1.41,1.41
860,1.66,1.66
863,1.88,1.88
867,2.00,2.00
871,2.00,2.00
875,2.00,2.00
879,2.00,2.00
882,2.00,2.00
886,2.00,2.00
890,2.00,2.00
894,2.00,2.00
899,2.00,2.00
902,2.00,2.00
906,2.00,2.00
910,2.00,2.00
914,2.00,2.00
918,2.00,2.00
921,1.87,1.87
925,1.71,1.71
929,1.53,1.53
933,1.39,1.39
937,1.29,1.29
942,1.21,1.21
945,1.15,1.15
949,1.11,1.11
953,1.07,1.07
957,1.07,1.07
961,1.07,1.07
964,1.08,1.08
968,1.10,1.10
972,1.12,1.12
976,1.14,1.14
980,1.14,1.14
984,1.13,1.13
988,1.09,1.09
992,1.01,1.01
996,0.90,0.90
1000,0.82,0.82
1004,0.75,0.75
1008,0.61,0.61
1012,0.42,0.42
1016,0.20,0.20
1020,-0.01,-0.01
1026,-0.26,-0.26
1030,-0.50,-0.50
1035,-0.72,-0.72
1039,-0.84,-0.84
1044,-1.07,-1.07
1048,-1.26,-1.26
