,0.00
0,0.00
0,0.00
1,0.00
1,0.00
1,0.00
2,0.00
2,0.00
2,0.00
7,0.00
15,1.00
24,5.00
34,12.00
45,22.00
55,35.00
65,50.00
75,67.00
86,87.00
96,108.00
108,135.00
120,167.00
133,201.00
145,238.00
157,278.00
171,320.00
183,364.00
195,411.00
207,459.00
220,510.00
233,562.00
245,616.00
258,672.00
270,730.00
282,788.00
294,848.00
308,911.00
320,974.00
332,1038.00
346,1109.00
359,1181.00
373,1255.00
387,1330.00
400,1406.00
413,1483.00
427,1561.00
441,1640.00
454,1719.00
467,1791.00
481,1853.00
494,1905.00
508,1946.00
522,1978.00
535,2000.00
548,2014.00
562,2020.00
576,2019.00
589,2010.00
603,1996.00
616,1977.00
630,1953.00
644,1923.00
657,1888.00
670,1849.00
684,1806.00
698,1759.00
711,1709.00
724,1655.00
738,1603.00
751,1556.00
765,1515.00
779,1481.00
792,1454.00
805,1434.00
819,1421.00
833,1415.00
846,1414.00
860,1419.00
873,1429.00
886,1443.00
901,1461.00
914,1483.00
927,1508.00
941,1538.00
954,1571.00
968,1607.00
982,1647.00
995,1689.00
1008,1729.00
1022,1763.00
1038,1786.00
1052,1800.00
1067,1805.00
1081,1801.00
1095,1790.00
1111,1771.00
1125,1745.00
1139,1713.00
1154,1676.00
1169,1637.00
1183,1602.00
1198,1575.00
1212,1556.00
1226,1545.00
1242,1542.00
1256,1546.00
1270,1555.00
1285,1570.00
1300,1588.00
1314,1610.00
1329,1637.00
1343,1668.00
1357,1700.00
1373,1722.00
1387,1735.00
1401,1738.00
1416,1732.00
1431,1719.00
1445,1699.00
1460,1673.00
1474,1644.00
1488,1618.00
1504,1600.00
1518,1589.00
1532,1584.00
1547,1586.00
1562,1595.00
1576,1608.00
1591,1627.00
1605,1651.00
1619,1676.00
1635,1700.00
1649,1718.00
1664,1725.00
1678,1723.00
1692,1713.00
1708,1696.00
1722,1672.00
1736,1647.00
1751,1625.00
1766,1608.00
1780,1599.00
1795,1596.00
1809,1601.00
1823,1611.00
1839,1625.00
1853,1644.00
1867,1666.00
1882,1689.00
1897,1709.00
1911,1720.00
1926,1722.00
1940,1716.00
1954,1703.00
1970,1683.00
1984,1659.00
1998,1635.00
2013,1614.00
2027,1601.00
2042,1596.00
2057,1598.00
2071,1606.00
2085,1619.00
2101,1638.00
2115,1661.00
2129,1687.00
2144,1712.00
2158,1729.00
2173,1735.00
