,0
10,0
20,1
30,2
40,4
51,7
61,10
71,13
81,18
92,22
102,27
112,33
122,39
133,45
143,52
154,60
164,67
175,75
185,84
195,92
205,102
216,111
226,121
236,131
247,141
258,152
268,162
278,173
288,185
299,196
309,208
319,220
330,232
340,244
351,257
361,269
371,282
381,295
392,308
402,322
413,335
423,349
434,363
444,377
454,391
464,405
475,419
485,434
495,448
506,463
517,478
527,493
537,508
547,523
558,538
568,554
579,569
589,585
600,600
610,616
620,632
630,648
641,664
651,680
662,696
672,712
683,729
693,745
703,761
713,778
723,795
734,811
745,827
755,843
765,859
776,875
786,890
796,905
806,920
817,934
828,949
838,963
848,977
859,990
869,1004
879,1017
889,1030
901,1043
911,1055
921,1068
931,1080
942,1092
952,1104
963,1115
973,1127
984,1138
994,1149
1004,1160
1014,1170
1026,1181
1036,1191
1046,1201
1056,1211
1067,1220
1078,1230
1088,1239
1098,1248
1108,1257
1119,1266
1129,1274
1140,1283
1150,1291
1161,1299
1171,1307
1181,1314
1192,1322
1203,1329
1213,1336
1223,1343
1233,1350
1245,1357
1255,1363
1265,1369
1275,1376
1286,1382
1297,1388
1307,1393
1317,1399
1328,1404
1338,1410
1349,1415
1359,1420
1370,1425
1380,1429
1390,1434
1401,1438
1412,1443
1422,1447
1432,1451
1442,1455
1454,1459
1464,1462
1474,1466
1484,1469
1495,1472
1505,1476
1516,1479
1526,1481
1537,1484
1547,1487
1557,1489
1568,1492
1579,1494
1589,1496
1599,1498
1610,1500
1622,1502
1634,1504
1645,1506
1656,1508
1668,1509
1679,1510
1690,1512
1702,1513
1714,1514
1725,1514
1736,1515
1747,1516
1760,1516
1771,1516
1782,1515
1794,1514
1805,1513
1816,1511
1828,1509
1840,1506
1851,1503
1862,1500
1873,1497
1885,1493
1897,1489
1908,1486
1920,1483
1931,1480
1942,1477
1953,1474
1966,1472
1977,1469
1988,1467
1999,1466
2011,1465
2022,1465
2034,1467
2045,1468
2057,1471
2068,1474
2079,1478
2092,1483
2103,1487
2114,1491
2125,1494
2137,1498
2148,1502
2160,1505
2171,1508
2183,1511
2194,1514
2205,1517
2216,1519
2229,1522
2240,1524
2251,1526
2263,1528
2274,1530
2286,1532
2297,1533
2309,1533
2320,1531
2331,1528
2342,1525
2354,1520
2366,1515
2377,1509
2388,1502
2400,1495
2411,1488
2422,1482
2435,1475
2446,1469
2457,1464
2468,1458
2480,1453
2492,1448
2503,1443
2514,1440
2526,1437
2537,1436
2548,1435
2561,1435
2572,1436
2583,1438
2594,1440
2606,1443
2617,1447
2629,1452
2640,1457
2652,1462
2663,1468
2674,1475
2685,1482
2698,1490
2709,1498
2720,1506
2732,1513
2743,1520
2754,1527
2766,1534
2778,1540
2789,1546
2800,1552
2811,1557
2824,1561
2835,1562
2846,1563
2857,1563
2869,1561
2880,1558
2892,1555
2904,1550
2915,1545
2926,1541
2937,1535
2949,1530
2961,1525
2972,1520
2983,1514
2995,1508
3006,1503
3017,1497
3030,1492
3041,1486
3052,1481
3063,1476
3075,1472
3086,1467
3098,1463
3109,1459
3121,1455
3132,1452
3143,1450
3154,1449
3167,1450
3178,1450
3189,1452
3201,1454
3212,1457
3224,1461
3235,1464
3247,1468
3258,1472
3269,1476
3280,1480
3293,1485
3304,1489
3315,1494
3326,1499
3338,1503
3349,1508
3361,1512
3373,1516
3384,1520
3395,1523
3406,1527
3419,1530
3430,1533
3441,1534
3452,1534
3464,1533
3475,1531
3486,1527
3499,1523
3510,1518
3521,1512
3532,1506
3544,1501
3556,1495
3567,1490
3578,1485
3590,1480
3601,1475
3612,1471
3624,1467
3636,1463
3647,1461
3658,1459
3670,1459
3681,1460
3693,1461
3704,1463
3716,1466
3727,1470
3738,1474
3749,1478
3762,1482
3773,1486
3784,1490
3795,1493
3807,1497
3818,1501
3830,1504
3842,1507
3853,1510
3864,1513
3875,1515
3887,1518
3899,1520
3910,1522
3921,1524
3933,1526
3944,1528
3956,1528
3968,1527
3979,1524
3990,1521
4001,1517
4013,1512
4025,1506
4036,1499
4047,1493
4059,1486
4070,1480
4081,1474
4093,1469
4105,1463
4116,1458
4127,1453
4139,1448
4150,1444
4162,1442
4173,1440
4185,1439
4196,1439
4207,1440
4218,1442
4231,1444
4242,1447
4253,1451
4264,1455
4276,1460
4288,1464
4299,1469
4311,1474
4322,1479
4333,1484
4344,1489
4357,1495
4368,1500
4379,1505
4390,1510
4402,1515
4413,1519
4425,1524
4436,1528
4448,1532
4459,1535
4470,1537
4482,1538
4494,1538
4505,1537
4516,1534
4528,1530
4539,1526
4551,1520
4562,1515
4574,1509
4585,1504
4596,1499
4608,1494
4619,1490
4631,1485
4642,1481
4654,1477
4665,1473
4676,1470
4688,1467
4700,1465
4711,1463
4722,1461
4733,1460
4745,1459
4757,1459
4768,1459
4780,1461
4791,1463
4802,1465
4813,1469
4826,1473
4837,1477
4848,1483
4859,1488
4871,1495
4882,1501
4894,1507
4905,1513
4917,1518
4928,1524
4939,1529
4951,1534
4963,1539
4974,1543
4985,1546
4997,1547
5008,1547
5020,1545
5031,1543
5043,1540
5054,1536
5065,1531
5076,1525
5089,1520
5100,1515
5111,1510
5123,1505
5134,1501
5145,1496
5157,1492
5169,1488
5180,1484
5191,1481
5202,1477
5214,1474
5226,1471
5237,1468
5249,1465
5260,1462
5271,1459
5282,1458
5295,1457
5306,1457
5317,1459
5328,1461
5340,1464
5351,1468
5363,1472
5374,1476
5386,1481
5397,1486
5408,1490
5421,1495
5432,1499
5443,1503
5454,1507
5466,1511
5477,1514
5489,1518
5500,1521
5512,1524
5523,1527
5534,1530
5545,1533
5558,1535
5569,1537
5580,1540
5592,1541
5603,1542
5614,1541
5626,1539
5638,1536
5649,1532
5660,1527
5671,1522
5684,1515
5695,1508
5706,1502
5718,1495
5729,1489
5740,1483
5752,1477
5764,1472
5775,1467
5786,1462
5797,1458
5809,1454
5821,1452
5832,1452
5843,1451
5855,1451
5866,1453
5877,1454
5890,1457
5901,1460
5912,1463
5923,1466
5935,1469
5946,1473
5958,1477
5969,1481
5981,1485
5992,1490
6003,1494
6014,1499
6027,1504
6038,1508
6049,1512
6061,1516
6072,1519
6083,1523
6095,1527
6107,1530
6118,1531
6129,1532
6140,1531
6153,1529
6164,1526
6175,1522
6187,1517
6198,1511
6209,1505
6221,1499
6233,1493
6244,1487
6255,1482
6266,1476
6278,1471
6290,1467
6301,1462
6312,1458
6324,1455
6335,1454
6346,1453
6359,1453
6370,1454
6381,1457
6392,1459
6404,1463
6415,1466
6427,1470
6438,1473
6450,1477
6461,1480
6472,1484
6484,1488
6496,1491
6507,1495
6518,1499
6530,1502
6541,1505
6553,1509
6564,1511
6576,1514
6587,1517
6598,1519
6609,1522
6622,1524
6633,1525
6644,1525
6656,1523
6667,1520
6678,1516
6690,1512
6702,1506
6713,1500
6724,1493
6735,1486
6747,1480
6759,1474
6770,1468
6781,1462
6793,1457
6804,1452
6816,1446
6828,1442
6839,1439
6850,1437
6861,1435
6873,1435
6885,1435
6896,1436
6907,1438
6919,1440
6930,1443
6941,1447
6953,1452
6965,1456
6976,1462
6987,1468
6999,1474
7010,1481
7022,1488
7033,1496
7045,1503
7056,1509
7067,1516
7078,1522
7091,1528
7102,1534
7113,1540
7124,1545
7136,1550
7147,1553
7159,1555
7171,1555
7182,1554
7193,1552
7204,1549
7217,1545
7228,1541
7239,1535
7250,1529
7262,1524
7273,1518
7285,1513
7297,1508
7308,1502
7319,1497
7330,1492
7342,1488
7354,1483
7365,1479
7376,1475
7388,1471
7399,1467
7410,1464
7422,1460
7434,1457
7445,1454
7456,1453
7468,1452
7479,1452
7491,1453
7502,1455
7514,1458
7525,1460
7536,1464
7547,1468
7560,1471
7571,1475
7582,1478
7593,1481
7605,1484
7617,1487
7628,1489
7640,1492
7651,1494
7662,1496
7673,1498
7686,1500
7697,1501
7708,1503
7719,1504
7731,1506
7742,1507
7754,1508
7766,1509
7777,1509
7788,1510
7799,1510
7811,1510
7823,1511
7834,1511
7845,1511
7857,1511
7868,1511
7879,1510
7891,1510
7903,1509
7914,1508
7925,1507
7937,1506
7949,1505
7960,1504
7971,1502
7983,1502
7994,1501
8005,1500
8017,1500
8029,1499
8040,1499
8051,1498
8062,1498
8074,1498
8086,1498
8097,1498
8109,1498
8120,1498
8131,1498
8142,1498
8155,1498
8166,1498
8177,1498
8188,1498
8200,1498
8211,1498
8223,1498
8235,1498
8246,1498
8257,1498
8268,1498
8280,1498
8292,1498
8303,1498
8314,1498
8326,1498
8337,1498
8349,1498
8360,1498
8372,1498
8383,1498
8394,1498
8406,1498
8418,1498
8429,1498
8440,1498
8452,1498
8463,1498
8474,1498
8486,1498
8498,1498
8509,1498
8520,1498
8531,1498
8543,1498
8555,1498
8566,1498
8578,1498
8589,1498
8600,1498
8611,1498
8624,1498
8635,1498
8646,1498
8657,1498
8669,1498
8681,1498
8692,1498
8704,1498
8715,1498
8726,1498
8737,1498
8750,1498
8761,1498
8772,1498
8783,1498
8795,1498
8806,1498
8818,1498
8829,1498
8841,1498
8852,1498
8863,1498
8876,1498
8887,1498
8898,1498
8909,1498
8921,1498
8932,1498
8943,1498
8955,1498
8967,1498
8978,1498
8989,1498
9000,1498
9012,1498
9024,1498
9035,1498
9047,1498
9058,1498
9069,1498
9081,1498
9093,1498
9104,1498
9115,1498
9126,1498
9138,1498
9150,1498
9161,1498
9172,1498
9184,1498
9195,1498
9206,1498
9219,1498
9230,1498
9241,1498
9252,1498
9264,1498
9275,1498
9287,1498
9298,1498
9310,1498
9321,1498
9332,1498
9344,1498
9356,1498
9367,1498
9378,1498
9390,1498
9401,1498
9413,1498
9424,1498
9436,1498
9447,1498
9458,1498
9469,1498
9482,1498
9493,1498
9504,1498
9516,1498
9527,1498
9538,1498
9550,1498
9562,1498
9573,1498
9584,1498
9595,1498
9607,1498
9619,1498
9630,1498
9641,1498
9653,1498
9664,1498
9675,1498
9688,1498
9699,1498
9710,1498
9721,1498
9733,1498
9744,1498
9756,1498
9767,1498
9779,1498
9790,1498
9801,1498
9814,1498
9825,1498
9836,1498
9847,1498
9859,1498
9870,1498
9882,1498
9893,1498
9905,1498
9916,1498
9927,1498
9938,1498
