,-0.57,-0.57
7,-0.67,-0.67
9,-0.70,-0.70
11,-0.89,-0.89
12,-1.10,-1.10
14,-0.92,-0.92
15,-0.84,-0.84
18,-1.19,-1.19
22,-1.37,-1.37
27,-1.58,-1.58
31,-1.71,-1.71
35,-1.86,-1.86
39,-1.99,-1.99
44,-2.00,-2.00
48,-2.00,-2.00
52,-2.00,-2.00
56,-2.00,-2.00
60,-2.00,-2.00
64,-2.00,-2.00
68,-2.00,-2.00
72,-2.00,-2.00
76,-2.00,-2.00
80,-2.00,-2.00
84,-2.00,-2.00
89,-2.00,-2.00
94,-2.00,-2.00
98,-2.00,-2.00
102,-2.00,-2.00
106,-2.00,-2.00
110,-2.00,-2.00
115,-1.43,-1.43
119,-1.17,-1.17
123,-1.05,-1.05
129,-1.10,-1.10
133,-1.17,-1.17
137,-1.32,-1.32
142,-1.44,-1.44
146,-1.62,-1.62
150,-1.75,-1.75
154,-1.83,-1.83
159,-1.98,-1.98
163,-2.00,-2.00
167,-2.00,-2.00
173,-2.00,-2.00
177,-2.00,-2.00
181,-2.00,-2.00
186,-2.00,-2.00
190,-2.00,-2.00
194,-2.00,-2.00
199,-1.98,-1.98
203,-1.92,-1.92
207,-1.85,-1.85
212,-1.77,-1.77
217,-1.68,-1.68
221,-1.52,-1.52
226,-1.41,-1.41
230,-1.25,-1.25
234,-1.09,-1.09
238,-0.91,-0.91
243,-0.69,-0.69
247,-0.51,-0.51
251,-0.28,-0.28
257,-0.07,-0.07
261,0.16,0.16
265,0.39,0.39
269,0.73,0.73
272,1.02,1.02
276,1.37,1.37
280,1.52,1.52
284,1.78,1.78
288,1.97,1.97
292,2.00,2.00
295,2.00,2.00
300,2.00,2.00
304,2.00,2.00
308,2.00,2.00
312,2.00,2.00
315,2.00,2.00
319,2.00,2.00
323,2.00,2.00
327,2.00,2.00
331,1.82,1.82
334,1.70,1.70
338,1.63,1.63
343,1.47,1.47
347,1.46,1.46
351,1.44,1.44
354,1.42,1.42
358,1.39,1.39
362,1.37,1.37
366,1.37,1.37
370,1.38,1.38
374,1.38,1.38
377,1.39,1.39
381,1.41,1.41
386,1.38,1.38
390,1.35,1.35
394,1.33,1.33
397,1.31,1.31
401,1.25,1.25
405,1.18,1.18
409,1.11,1.11
413,1.04,1.04
416,0.96,0.96
420,0.85,0.85
424,0.77,0.77
429,0.66,0.66
433,0.71,0.71
436,0.52,0.52
440,0.51,0.51
444,0.41,0.41
448,0.18,0.18
452,-0.01,-0.01
456,-0.16,-0.16
460,-0.36,-0.36
465,-0.67,-0.67
470,-1.01,-1.01
474,-0.98,-0.98
479,-1.45,-1.45
483,-1.68,-1.68
487,-1.80,-1.80
492,-1.93,-1.93
496,-2.00,-2.00
500,-2.00,-2.00
504,-2.00,-2.00
509,-2.00,-2.00
514,-2.00,-2.00
518,-2.00,-2.00
523,-2.00,-2.00
527,-2.00,-2.00
531,-2.00,-2.00
536,-2.00,-2.00
540,-2.00,-2.00
544,-2.00,-2.00
549,-1.89,-1.89
553,-1.66,-1.66
558,-1.47,-1.47
563,-1.41,-1.41
567,-1.43,-1.43
571,-1.46,-1.46
576,-1.52,-1.52
