,1.62,1.62
7,1.67,1.67
9,1.58,1.58
11,1.52,1.52
12,1.38,1.38
14,1.24,1.24
15,1.22,1.22
17,1.28,1.28
19,1.25,1.25
22,1.15,1.15
26,1.12,1.12
29,1.11,1.11
33,1.17,1.17
36,1.16,1.16
40,1.14,1.14
44,1.14,1.14
48,1.16,1.16
51,1.19,1.19
55,1.16,1.16
59,1.19,1.19
62,1.23,1.23
66,1.19,1.19
69,1.24,1.24
73,1.27,1.27
76,1.14,1.14
80,1.09,1.09
83,0.91,0.91
88,0.77,0.77
92,0.64,0.64
95,0.59,0.59
99,0.44,0.44
102,0.23,0.23
106,0.05,0.05
110,-0.13,-0.13
114,-0.20,-0.20
118,-0.41,-0.41
123,-0.65,-0.65
128,-0.99,-0.99
132,-0.90,-0.90
137,-0.98,-0.98
141,-1.22,-1.22
145,-1.46,-1.46
150,-1.66,-1.66
154,-1.85,-1.85
158,-1.93,-1.93
163,-1.95,-1.95
167,-1.97,-1.97
172,-2.00,-2.00
177,-1.96,-1.96
181,-1.98,-1.98
185,-2.00,-2.00
189,-2.00,-2.00
194,-2.00,-2.00
198,-2.00,-2.00
202,-2.00,-2.00
207,-2.00,-2.00
211,-2.00,-2.00
216,-2.00,-2.00
221,-2.00,-2.00
225,-2.00,-2.00
229,-2.00,-2.00
234,-2.00,-2.00
238,-2.00,-2.00
242,-2.00,-2.00
247,-2.00,-2.00
251,-1.93,-1.93
256,-1.90,-1.90
261,-1.91,-1.91
265,-1.94,-1.94
269,-1.98,-1.98
274,-1.97,-1.97
278,-2.00,-2.00
282,-2.00,-2.00
286,-2.00,-2.00
291,-1.99,-1.99
295,-1.95,-1.95
300,-1.92,-1.92
305,-1.87,-1.87
309,-1.78,-1.78
313,-1.71,-1.71
318,-1.62,-1.62
322,-1.54,-1.54
326,-1.45,-1.45
331,-1.35,-1.35
335,-1.22,-1.22
339,-1.12,-1.12
345,-0.75,-0.75
349,-0.47,-0.47
353,-0.17,-0.17
358,0.13,0.13
361,0.31,0.31
365,0.52,0.52
369,0.73,0.73
373,0.89,0.89
377,1.13,1.13
380,1.44,1.44
385,1.70,1.70
389,1.92,1.92
393,2.00,2.00
397,2.00,2.00
400,2.00,2.00
404,2.00,2.00
408,2.00,2.00
412,2.00,2.00
416,2.00,2.00
419,2.00,2.00
423,2.00,2.00
428,2.00,2.00
432,2.00,2.00
436,1.97,1.97
440,1.89,1.89
443,1.76,1.76
447,1.65,1.65
451,1.59,1.59
455,1.48,1.48
