,0.43
0,0.43
1,0.42
1,0.42
2,0.42
2,0.42
3,0.42
3,0.42
4,0.42
7,0.40
15,0.40
25,0.18
34,0.34
44,0.39
53,0.42
62,0.49
71,0.53
80,0.58
91,0.58
100,0.59
110,0.45
120,0.40
131,0.48
141,0.52
151,0.52
162,0.46
173,0.33
183,0.20
193,0.06
203,0.04
214,-0.14
226,-0.26
237,-0.32
248,-0.33
260,-0.35
271,-0.36
282,-0.36
294,-0.35
306,-0.35
317,-0.35
328,-0.24
339,-0.10
351,0.15
362,0.40
372,0.53
382,0.80
393,0.87
403,0.84
413,0.81
424,0.75
435,0.67
445,0.58
455,0.50
465,0.45
476,0.33
487,0.37
497,0.30
507,0.30
518,0.33
528,0.42
538,0.49
548,0.56
560,0.55
570,0.37
580,0.26
590,0.15
601,0.23
611,0.30
622,0.27
632,0.21
643,0.11
653,-0.08
664,-0.05
675,-0.21
688,-0.29
699,-0.32
710,-0.33
721,-0.35
733,-0.36
744,-0.35
756,-0.35
768,-0.32
779,-0.33
790,-0.21
801,0.02
812,0.30
823,0.50
833,0.75
843,0.84
854,0.86
864,0.80
874,0.74
885,0.67
896,0.59
906,0.49
916,0.45
926,0.27
936,0.33
947,0.33
958,0.33
968,0.36
978,0.42
989,0.46
999,0.55
1009,0.61
1021,0.56
1033,0.36
1044,0.31
1055,0.43
1067,0.52
1078,0.59
1090,0.50
1101,0.37
1113,0.21
1124,0.04
1135,0.06
1146,-0.23
1160,-0.32
1172,-0.39
1184,-0.45
1197,-0.48
1209,-0.48
1222,-0.48
1234,-0.46
1247,-0.48
1259,-0.49
1271,-0.42
1285,-0.23
1297,0.08
1308,0.37
1319,0.48
1331,0.71
1342,0.77
1354,0.74
1366,0.68
1377,0.58
1388,0.48
1399,0.37
1411,0.37
1423,0.33
1434,0.31
1445,0.36
1457,0.40
1468,0.49
1479,0.59
1491,0.58
1503,0.43
1514,0.23
1525,0.21
1537,0.34
1548,0.31
1560,0.30
1571,0.24
1583,0.12
1594,0.26
1605,-0.08
1618,-0.23
1631,-0.26
1643,-0.32
1655,-0.38
1668,-0.38
1680,-0.36
1693,-0.36
1705,-0.33
1718,-0.30
1730,-0.26
1742,-0.08
1756,0.20
1767,0.48
1778,0.87
1789,0.87
1801,0.83
1812,0.80
1824,0.74
1836,0.64
1847,0.52
1858,0.40
1869,0.30
1881,0.26
1893,0.21
1904,0.21
1915,0.24
1927,0.31
1938,0.39
1950,0.46
1961,0.49
1973,0.11
1984,-0.82
1996,-0.35
2009,0.12
2021,0.28
2032,0.33
2043,0.26
2055,0.11
2066,-0.02
2078,-0.13
2092,-0.16
2104,-0.18
2116,-0.21
2128,-0.21
2141,-0.23
2154,-0.21
2166,-0.14
2179,0.04
2190,0.17
2201,0.36
2212,0.52
2225,0.71
2236,0.89
2247,0.86
2258,0.80
2270,0.68
2281,0.55
2293,0.43
2305,0.31
2316,0.11
2327,0.12
2338,0.06
2351,0.01
2362,0.02
2373,0.04
2384,0.08
2396,0.18
2407,0.28
2419,0.37
2430,0.43
2442,0.37
2453,0.04
2464,0.33
2476,0.56
2488,0.68
2499,0.68
2510,0.61
2522,0.45
2533,0.33
2544,0.28
2556,0.08
2568,0.14
2579,0.14
2590,0.12
2601,0.09
2613,0.11
2625,0.12
2636,0.11
2648,0.11
2659,0.17
2670,0.34
2682,0.56
2694,0.81
2705,0.83
2716,0.81
2727,0.80
2739,0.70
2751,0.61
2762,0.53
2774,0.52
2785,0.42
2796,0.36
2807,0.37
2820,0.42
2831,0.50
2842,0.61
2853,0.64
2865,0.55
2876,0.09
2888,0.17
2899,0.45
2911,0.53
2922,0.53
2933,0.50
2945,0.43
2957,0.28
2968,0.18
2979,0.09
2991,0.06
3002,0.08
3013,0.05
3025,0.05
3037,0.04
3048,0.05
3059,0.04
3070,-0.02
3084,0.01
3095,0.30
3106,0.71
3118,0.71
3129,0.75
3140,0.68
3152,0.59
3164,0.46
3175,0.55
3186,0.27
3197,0.14
3209,0.11
3221,0.06
3232,0.06
3244,0.12
3255,0.18
3266,0.27
3277,0.39
3290,0.45
3301,0.43
3312,0.20
3323,0.11
3335,0.37
3346,0.56
3358,0.64
3369,0.62
3381,0.52
3392,0.36
3403,0.20
3416,-0.08
3428,0.06
3439,0.02
3450,0.04
3462,0.02
3473,0.01
3485,0.02
3496,0.02
3508,-0.05
3520,-0.08
3532,0.17
3544,0.28
3556,0.58
3567,0.70
3578,0.64
3590,0.50
3601,0.36
3612,0.33
3624,0.09
3636,0.02
3647,-0.05
3659,-0.07
3672,-0.02
3685,0.04
3696,0.14
3707,0.26
3719,0.36
3730,0.33
3741,0.15
3753,0.06
3765,0.23
3776,0.46
3787,0.59
3799,0.64
3810,0.61
3822,0.48
3833,0.39
3845,0.36
3856,0.31
3867,0.17
3878,0.28
3891,0.36
3902,0.42
3913,0.36
3924,0.12
3936,0.37
3948,0.40
3959,0.39
3971,0.42
3982,0.45
3993,0.34
4004,0.15
4017,0.04
4028,-0.05
4040,-0.13
4052,-0.17
4065,-0.20
4077,-0.18
4090,-0.11
4103,0.02
4114,0.14
4125,0.26
4136,0.27
4149,0.28
4160,0.28
4171,0.53
4183,0.64
4194,0.67
4205,0.65
4217,0.58
4229,0.50
4240,0.40
4251,0.31
4262,0.33
4274,0.20
4286,0.20
4297,0.18
4308,0.17
4320,0.17
4331,0.17
4342,0.23
4355,0.26
4366,0.42
4377,0.64
4388,0.62
4400,0.67
4411,0.68
4423,0.52
4434,0.39
4446,0.17
4457,0.14
4468,0.06
4481,-0.01
4493,-0.04
4505,-0.07
4517,-0.05
4530,0.02
4541,0.14
4553,0.27
4564,0.33
4576,0.34
4587,0.31
4598,0.36
4610,0.49
4622,0.52
4633,0.53
4644,0.49
4656,0.40
4667,0.33
4679,0.26
4690,-0.01
4703,0.06
4714,0.02
4725,-0.01
4738,-0.04
4751,-0.04
4763,-0.02
4775,-0.01
4788,-0.01
4800,0.06
4812,0.20
4824,0.30
4835,0.33
4846,0.58
4857,0.58
4869,0.46
4881,0.34
4892,0.28
4903,0.06
4915,0.05
4926,0.02
4937,-0.01
4951,0.01
4962,0.05
4973,0.14
4984,0.26
4996,0.40
5007,0.45
5019,0.42
5030,0.55
5042,0.70
5053,0.74
5064,0.70
5075,0.53
5088,0.39
5099,0.24
5110,0.09
5122,-0.23
5134,-0.10
5147,-0.21
5159,-0.24
5172,-0.30
5184,-0.32
5196,-0.30
5209,-0.27
5222,-0.24
5234,-0.23
5246,-0.18
5259,-0.02
5271,0.18
5283,0.55
5295,0.37
5306,0.33
5317,0.30
5328,0.23
5340,0.08
5352,0.02
5363,-0.02
5376,-0.07
5388,-0.05
5400,-0.04
5413,0.06
5425,0.17
5436,0.28
5447,0.42
5458,0.50
5470,0.53
5482,0.49
5493,0.53
5505,0.39
5516,0.31
5527,0.28
5538,0.20
5551,0.11
5562,0.05
5573,0.01
5584,-0.17
5597,-0.16
5609,-0.14
5622,-0.14
5635,-0.14
5647,-0.08
5659,-0.07
5671,-0.05
5685,0.04
5696,0.20
5707,0.27
5719,0.48
5730,0.53
5741,0.46
5753,0.36
